199.174.144.61 - - [10/Aug/1995:23:23:54 -0400] "GET /history/history.html HTTP/1.0" 200 1602
152.52.40.46 - - [10/Aug/1995:23:23:54 -0400] "GET /history/skylab/skylab-1.html HTTP/1.0" 200 1659
ad18-055.compuserve.com - - [10/Aug/1995:23:23:55 -0400] "GET /shuttle/missions/sts-69/mission-sts-69.html HTTP/1.0" 200 11264
152.163.192.69 - - [10/Aug/1995:23:23:58 -0400] "GET /facts/faq04.html HTTP/1.0" 304 0
130.155.98.2 - - [10/Aug/1995:23:24:00 -0400] "GET /history/mercury/ma-6/ma-6-patch-small.gif HTTP/1.0" 200 21277
199.183.199.38 - - [10/Aug/1995:23:24:02 -0400] "GET /elv/DELTA/delta.htm HTTP/1.0" 200 835
ip-pdx7-36.teleport.com - - [10/Aug/1995:23:24:06 -0400] "GET /images/ HTTP/1.0" 200 17688
oncomdis.on.ca - - [10/Aug/1995:23:24:07 -0400] "GET /history/apollo/apollo-13/apollo-13.html HTTP/1.0" 200 18556
crc185.cac.washington.edu - - [10/Aug/1995:23:24:08 -0400] "GET /history/apollo/apollo.html HTTP/1.0" 200 3260
ix-mvo-ca3-21.ix.netcom.com - - [10/Aug/1995:23:24:08 -0400] "GET /images/NASA-logosmall.gif HTTP/1.0" 200 786
crc185.cac.washington.edu - - [10/Aug/1995:23:24:08 -0400] "GET /history/apollo/images/footprint-small.gif HTTP/1.0" 200 18149
crc185.cac.washington.edu - - [10/Aug/1995:23:24:08 -0400] "GET /images/KSC-logosmall.gif HTTP/1.0" 200 1204
crc185.cac.washington.edu - - [10/Aug/1995:23:24:08 -0400] "GET /history/apollo/images/apollo-logo1.gif HTTP/1.0" 200 1173
166.82.151.16 - - [10/Aug/1995:23:24:10 -0400] "GET /shuttle/missions/sts-69/mission-sts-69.html HTTP/1.0" 200 11264
ix-mvo-ca3-21.ix.netcom.com - - [10/Aug/1995:23:24:10 -0400] "GET /images/MOSAIC-logosmall.gif HTTP/1.0" 200 363
"access.log.1" [converted] 1569898L, 167813854C                                                                                            437442,16     27%
